year,slam,surface,date,champion,champion_ioc,seed,age,runner_up,runner_up_ioc,score
1987,Roland Garros,Clay,19870525,Ivan Lendl,USA,1,27,Mats Wilander,SWE,7-5 6-2 3-6 7-6
1987,Wimbledon,Grass,19870622,Pat Cash,AUS,11,22,Ivan Lendl,USA,7-6 6-2 7-5
1987,US Open,Hard,19870901,Ivan Lendl,USA,1,27,Mats Wilander,SWE,6-7 6-0 7-6 6-4
1988,Australian Open,Hard,19880111,Mats Wilander,SWE,3,23,Pat Cash,AUS,6-3 6-7 3-6 6-1 8-6
1988,Roland Garros,Clay,19880523,Mats Wilander,SWE,3,23,Henri Leconte,FRA,7-5 6-2 6-1
1988,Wimbledon,Grass,19880620,Stefan Edberg,SWE,3,22,Boris Becker,GER,4-6 7-6 6-4 6-2
1988,US Open,Hard,19880829,Mats Wilander,SWE,2,24,Ivan Lendl,USA,6-4 4-6 6-3 5-7 6-4
1989,Australian Open,Hard,19890116,Ivan Lendl,USA,2,28,Miloslav Mecir Sr.,SVK,6-2 6-2 6-2
1989,Roland Garros,Clay,19890529,Michael Chang,USA,15,17,Stefan Edberg,SWE,6-1 3-6 4-6 6-4 6-2
1989,Wimbledon,Grass,19890626,Boris Becker,GER,3,21,Stefan Edberg,SWE,6-0 7-6 6-4
1989,US Open,Hard,19890828,Boris Becker,GER,2,21,Ivan Lendl,USA,7-6 1-6 6-3 7-6
1990,Australian Open,Hard,19900115,Ivan Lendl,USA,1,29,Stefan Edberg,SWE,4-6 7-6 5-2 RET
1990,Roland Garros,Clay,19900528,Andres Gomez,ECU,4,30,Andre Agassi,USA,6-3 2-6 6-4 6-4
1990,Wimbledon,Grass,19900625,Stefan Edberg,SWE,3,24,Boris Becker,GER,6-2 6-2 3-6 3-6 6-4
1990,US Open,Hard,19900827,Pete Sampras,USA,12,19,Andre Agassi,USA,6-4 6-3 6-2
1991,Australian Open,Hard,19910114,Boris Becker,GER,2,23,Ivan Lendl,USA,1-6 6-4 6-4 6-4
