year,slam,surface,date,champion,champion_ioc,seed,age,runner_up,runner_up_ioc,score
2004,Australian Open,Hard,20040119,Roger Federer,SUI,2,22,Marat Safin,RUS,7-6(3) 6-4 6-2
2004,Roland Garros,Clay,20040524,Gaston Gaudio,ARG,,25,Guillermo Coria,ARG,0-6 3-6 6-4 6-1 8-6
2004,Wimbledon,Grass,20040621,Roger Federer,SUI,1,22,Andy Roddick,USA,4-6 7-5 7-6(3) 6-4
2004,US Open,Hard,20040830,Roger Federer,SUI,1,23,Lleyton Hewitt,AUS,6-0 7-6(3) 6-0
2005,Australian Open,Hard,20050117,Marat Safin,RUS,4,24,Lleyton Hewitt,AUS,1-6 6-3 6-4 6-4
2005,Roland Garros,Clay,20050523,Rafael Nadal,ESP,4,18,Mariano Puerta,ARG,6-7(6) 6-3 6-1 7-5
2005,Wimbledon,Grass,20050620,Roger Federer,SUI,1,23,Andy Roddick,USA,6-2 7-6(2) 6-4
2005,US Open,Hard,20050829,Roger Federer,SUI,1,24,Andre Agassi,USA,6-3 2-6 7-6(1) 6-1
2006,Australian Open,Hard,20060116,Roger Federer,SUI,1,24,Marcos Baghdatis,CYP,5-7 7-5 6-0 6-2
2006,Roland Garros,Clay,20060529,Rafael Nadal,ESP,2,19,Roger Federer,SUI,1-6 6-1 6-4 7-6(4)
2006,Wimbledon,Grass,20060626,Roger Federer,SUI,1,24,Rafael Nadal,ESP,6-0 7-6(5) 6-7(2) 6-3
2006,US Open,Hard,20060828,Roger Federer,SUI,1,25,Andy Roddick,USA,6-2 4-6 7-5 6-1
2007,Australian Open,Hard,20070115,Roger Federer,SUI,1,25,Fernando Gonzalez,CHI,7-6(2) 6-4 6-4
2007,Roland Garros,Clay,20070528,Rafael Nadal,ESP,2,20,Roger Federer,SUI,6-3 4-6 6-3 6-4
2007,Wimbledon,Grass,20070625,Roger Federer,SUI,1,25,Rafael Nadal,ESP,7-6(7) 4-6 7-6(3) 2-6 6-2
2007,US Open,Hard,20070827,Roger Federer,SUI,1,26,Novak Djokovic,SRB,7-6(4) 7-6(2) 6-4
2008,Australian Open,Hard,20080114,Novak Djokovic,SRB,3,20,Jo-Wilfried Tsonga,FRA,4-6 6-4 6-3 7-6(2)
2008,Roland Garros,Clay,20080525,Rafael Nadal,ESP,2,21,Roger Federer,SUI,6-1 6-3 6-0
2008,Wimbledon,Grass,20080623,Rafael Nadal,ESP,2,22,Roger Federer,SUI,6-4 6-4 6-7(5) 6-7(8) 9-7
2008,US Open,Hard,20080825,Roger Federer,SUI,2,27,Andy Murray,GBR,6-2 7-5 6-2
2009,Australian Open,Hard,20090119,Rafael Nadal,ESP,1,22,Roger Federer,SUI,7-5 3-6 7-6(3) 3-6 6-2
2009,Roland Garros,Clay,20090525,Roger Federer,SUI,2,27,Robin Soderling,SWE,6-1 7-6(1) 6-4
2009,Wimbledon,Grass,20090622,Roger Federer,SUI,2,27,Andy Roddick,USA,5-7 7-6(6) 7-6(5) 3-6 16-14
2009,US Open,Hard,20090831,Juan Martin del Potro,ARG,6,20,Roger Federer,SUI,3-6 7-6(5) 4-6 7-6(4) 6-2
2010,Australian Open,Hard,20100118,Roger Federer,SUI,1,28,Andy Murray,GBR,6-3 6-4 7-6(11)
2010,Roland Garros,Clay,20100524,Rafael Nadal,ESP,2,23,Robin Soderling,SWE,6-4 6-2 6-4
2010,Wimbledon,Grass,20100621,Rafael Nadal,ESP,2,24,Tomas Berdych,CZE,6-3 7-5 6-4
2010,US Open,Hard,20100830,Rafael Nadal,ESP,1,24,Novak Djokovic,SRB,6-4 5-7 6-4 6-2
2011,Australian Open,Hard,20110117,Novak Djokovic,SRB,3,23,Andy Murray,GBR,6-4 6-2 6-3
2011,Roland Garros,Clay,20110522,Rafael Nadal,ESP,1,24,Roger Federer,SUI,7-5 7-6(3) 5-7 6-1
2011,Wimbledon,Grass,20110620,Novak Djokovic,SRB,2,24,Rafael Nadal,ESP,6-4 6-1 1-6 6-3
2011,US Open,Hard,20110829,Novak Djokovic,SRB,1,24,Rafael Nadal,ESP,6-2 6-4 6-7(3) 6-1
2012,Australian Open,Hard,20120116,Novak Djokovic,SRB,1,24,Rafael Nadal,ESP,5-7 6-4 6-2 6-7(5) 7-5
2012,Roland Garros,Clay,20120527,Rafael Nadal,ESP,2,25,Novak Djokovic,SRB,6-4 6-3 2-6 7-5
2012,Wimbledon,Grass,20120625,Roger Federer,SUI,3,30,Andy Murray,GBR,4-6 7-5 6-3 6-4
2012,US Open,Hard,20120827,Andy Murray,GBR,3,25,Novak Djokovic,SRB,7-6(10) 7-5 2-6 3-6 6-2
2013,Australian Open,Hard,20130114,Novak Djokovic,SRB,1,25,Andy Murray,GBR,6-7(2) 7-6(3) 6-3 6-2
2013,Roland Garros,Clay,20130527,Rafael Nadal,ESP,3,26,David Ferrer,ESP,6-3 6-2 6-3
2013,Wimbledon,Grass,20130624,Andy Murray,GBR,2,26,Novak Djokovic,SRB,6-4 7-5 6-4
2013,US Open,Hard,20130826,Rafael Nadal,ESP,2,27,Novak Djokovic,SRB,6-2 3-6 6-4 6-1
2014,Australian Open,Hard,20140113,Stan Wawrinka,SUI,8,28,Rafael Nadal,ESP,6-3 6-2 3-6 6-3
2014,Roland Garros,Clay,20140526,Rafael Nadal,ESP,1,27,Novak Djokovic,SRB,3-6 7-5 6-2 6-4
2014,Wimbledon,Grass,20140623,Novak Djokovic,SRB,1,27,Roger Federer,SUI,6-7(7) 6-4 7-6(4) 5-7 6-4
2014,US Open,Hard,20140825,Marin Cilic,CRO,14,25,Kei Nishikori,JPN,6-3 6-3 6-3
2015,Australian Open,Hard,20150119,Novak Djokovic,SRB,1,27,Andy Murray,GBR,7-6(5) 6-7(4) 6-3 6-0
2015,Roland Garros,Clay,20150524,Stan Wawrinka,SUI,8,30,Novak Djokovic,SRB,4-6 6-4 6-3 6-4
2015,Wimbledon,Grass,20150629,Novak Djokovic,SRB,1,28,Roger Federer,SUI,7-6(1) 6-7(10) 6-4 6-3
2015,US Open,Hard,20150831,Novak Djokovic,SRB,1,28,Roger Federer,SUI,6-4 5-7 6-4 6-4
2016,Australian Open,Hard,20160118,Novak Djokovic,SRB,1,28,Andy Murray,GBR,6-1 7-5 7-6(3)
